seconds_elapsed,accelerometer_z,accelerometer_y,accelerometer_x,location_altitude,location_longitude,location_latitude,gyroscope_z,gyroscope_y,gyroscope_x
383,-0.384915431,0.013312137,-0.430403493,67.16183472,-9.06870475,53.27919935,0.080365863,0.224183777,0.102585836
384,0.222956711,0.217670431,0.438837182,67.29924011,-9.068709575,53.27919115,-0.312696777,-0.653129209,0.121528752
385,0.596939139,-0.371760132,-0.325622723,67.66560872,-9.068739967,53.27916803,0.095899193,-0.015331762,0.061077476
386,0.317419645,-0.092179184,-0.845974956,67.61032104,-9.06878575,53.2791499,0.256241805,0.235076851,0.016847976
387,0.129562744,-0.040402063,-0.632833103,67.5133667,-9.06880535,53.27913325,-0.010801195,0.213259547,0.036109707
388,-0.322017704,0.009632711,-0.349782105,67.08010864,-9.0688126,53.27911415,0.133382307,0.269844394,0.006315182
389,0.103859312,0.007271479,-0.209624034,66.4220988,-9.068817433,53.27908903,-0.118047381,0.053773253,0.00538582
390,-0.01426736,0.26760828,0.723303361,65.70141602,-9.068820433,53.27906117,-0.279026474,-0.265852653,0.005529549
391,0.217741205,0.040751734,0.643801336,65.45889282,-9.06883385,53.2790314,-0.050716529,-0.273426682,0.100218157
392,-0.101047122,0.062149973,0.10637213,65.71902466,-9.068871,53.27900635,0.009425636,-0.30860883,0.08158644
393,0.354310684,-0.125126505,-0.142362881,66.29458618,-9.0689089,53.27899115,-0.001583916,-0.064296811,0.0160437
394,0.132452278,-0.11603905,-0.197295205,66.58868408,-9.068939033,53.27898047,-0.037933768,-0.14085619,0.003629717
395,0.30774388,-0.188561354,-0.436189824,66.54678345,-9.06898005,53.2789681,0.058627442,0.09261651,0.013076942
396,-0.103031111,-0.034441197,-0.238302015,66.50512695,-9.0690143,53.27895673,-0.045208671,-0.101786861,-0.073630895
397,-0.16478991,0.112811213,-0.310772285,65.76818848,-9.0690646,53.2789417,0.00247474,0.051212368,0.106300814
398,0.09857015,0.047635461,-0.053855932,65.65658569,-9.06910025,53.27893235,-0.039642407,-0.175305864,0.019729962
399,0.385734215,-0.16589469,-0.425856507,65.73580933,-9.0691604,53.2789236,0.104476379,0.130579831,0.014275363
400,0.054359426,-0.190628695,-0.265705893,66.02932739,-9.0691983,53.27891675,0.017596155,0.003288837,-0.077015057
401,0.010221223,-0.029199274,-0.377199625,65.9323527,-9.069256067,53.27890207,0.009280612,0.175587717,0.086095355
402,0.365002092,-0.085395408,0.229654866,66.69439697,-9.06931085,53.27888395,-0.13570858,-0.072451403,0.055607583
403,-0.335640491,0.054827256,0.235379188,66.00787354,-9.0693516,53.2788692,0.076199726,-0.146214152,-0.010632689
404,0.094569901,-0.054220819,-0.113859046,66.04846191,-9.06938515,53.27885915,-0.066921852,-0.015968468,-0.01146673
405,0.158447886,-0.005485417,-0.266512162,66.08089193,-9.069434767,53.27884487,0.076357934,-0.004035748,0.026224376
406,0.1420197,-0.079849787,-0.196561778,66.22128296,-9.0694909,53.27883145,-0.051893648,0.100163898,-0.001722234
407,0.089580968,-0.015743737,-0.487953056,66.45792643,-9.0695422,53.27881737,0.115532736,-0.046899421,0.0337155
408,0.165276895,-0.040409327,-0.748152547,67.07132975,-9.069604633,53.27879933,0.057239928,0.280670131,0.051599532
409,0.216297101,0.041821833,0.063545549,67.38150024,-9.0696537,53.27877955,0.006330992,0.091828208,0.005806519
410,0.36158618,-0.16781255,0.061453941,67.43148804,-9.06968455,53.2787625,-0.076272704,0.031297247,-0.011737501
411,0.013203757,-0.006746736,-0.05504903,67.5797526,-9.069726167,53.27873293,0.034328776,0.084749533,0.015993102
412,-0.059028313,0.089653917,0.39367813,67.88659668,-9.06975665,53.2787042,-0.046089356,-0.092958882,-0.009849556
413,0.169268172,-0.026025896,-0.162193329,68.14678955,-9.06978145,53.2786784,0.127600589,0.090991978,0.031580571
414,0.198725532,-0.00776111,-0.391767992,68.78065999,-9.0698221,53.27864563,0.055603748,0.098886108,0.019782698
415,0.263848724,-0.140122633,-0.167476066,68.77420044,-9.06986305,53.278609,-0.0496779,0.206834058,0.015822661
416,0.0235666,0.00328529,0.612994372,68.17199707,-9.0698785,53.2785845,-0.148093615,-0.161626191,-0.024789615
417,0.057238755,0.071580749,0.635901956,67.67932129,-9.06989535,53.27856045,-0.080591851,-0.148577797,0.024762884
418,-0.070298498,0.126684589,0.068416907,67.53145345,-9.069931133,53.2785304,0.020355186,-0.221577642,0.049807229
419,0.13265991,-0.09730492,0.044384669,67.59854126,-9.06997675,53.2785068,-0.036660195,-0.004589473,-0.004011702
420,-0.098371536,0.009260497,0.177148156,67.52090454,-9.0700233,53.27848765,-0.051006817,-0.193095158,0.011151479
421,0.101356084,0.186189736,-0.405993329,67.79742432,-9.0700675,53.27847713,0.074794318,-0.075566612,0.067730103
422,0.133005922,-0.103648362,-0.721678736,68.16483561,-9.070128433,53.2784605,0.071051072,0.140675868,0.019897294
423,0.155144066,-0.088498068,-0.700930395,68.22702026,-9.0701783,53.27843605,0.055187139,0.229125121,0.019780062
424,0.096033782,-0.024623837,-0.1788994,68.39538574,-9.0702145,53.27841415,-0.02597845,0.012053292,-0.006414715
425,-0.008980624,0.096689177,0.201234598,68.53723145,-9.0702476,53.27839445,-0.112897729,-0.114467187,-0.00570716
426,0.105673018,-0.015030904,0.048503045,68.63745117,-9.0702976,53.2783613,0.022650829,-0.007422392,0.013889202
427,0.002386409,0.025135078,0.022888636,68.81494141,-9.07034315,53.2783375,-0.003514703,-0.04778256,0.008160746
428,-0.150365382,0.032436805,-0.168536728,68.97753906,-9.070402133,53.2783088,0.064305162,-0.004201865,0.012745097
429,0.169397165,-0.050249743,0.054320085,69.02471924,-9.070457,53.27827765,-0.07085268,-0.0200431,0.014658853
430,0.145366012,-0.089382469,-0.296315986,69.08807373,-9.0704969,53.27825535,0.101976994,0.114548648,0.009683784
431,0.127974195,-0.090788212,0.006283222,69.3423055,-9.0705377,53.27823707,-0.051400964,0.007350152,-0.003362739
432,0.009323713,0.012457682,-0.104360826,69.88785807,-9.070585567,53.27820927,-0.010289649,-0.029417495,0.006071382
433,0.058496991,0.018659706,-0.071873776,70.18375651,-9.0706312,53.2781825,0.001081903,0.024136039,-1.80E-04
434,-0.050383095,0.039806777,-0.080740951,70.17976888,-9.0706799,53.27815583,0.003289824,-0.035882907,0.004386471
435,0.180280839,-0.131852341,0.073823684,70.14074707,-9.0707206,53.2781319,-0.022431123,0.011304942,-0.002838095
436,-0.117929335,-0.034903297,-0.161030597,70.10701497,-9.070762733,53.2781115,0.032845402,-0.042456243,0.017726811
437,0.169955257,0.12386821,-0.372668928,70.12451172,-9.0708194,53.2780791,0.014467181,-0.0210035,0.007176197
438,-0.025256265,-0.100945053,0.298261518,70.94567871,-9.0708561,53.278058,-0.059560881,-0.008208023,-0.001684949
439,-0.041446741,-0.032022405,-0.139558778,70.69165039,-9.0708941,53.27803735,0.084207662,0.04650626,0.013467579
440,0.172047824,0.010976596,-0.088640687,70.35910034,-9.0709378,53.27801825,-0.027126269,0.015097282,-5.13E-04
441,-0.075008111,0.033003807,-0.151836851,70.59030151,-9.0709836,53.2779956,-0.003652846,0.0352788,0.00593954
442,0.001306503,-0.017846313,0.017012938,70.76315308,-9.07102415,53.27797485,-0.031115684,-0.055985091,-0.005903393
443,0.064616549,-0.053318132,-0.07333262,70.46107992,-9.0710724,53.2779498,-0.0070253,-0.039163075,1.18E-04
444,-0.176468378,0.078422737,-0.112418921,70.34495036,-9.071124733,53.27792593,0.032866704,-0.011571594,0.008965024
445,0.103203403,-0.061875243,-0.051013386,70.46447754,-9.0711756,53.2779024,-0.014518881,0.063329748,-0.002992559
446,0.06028643,0.049609968,-0.217218022,70.45083618,-9.07120885,53.2778836,0.087437729,0.005390778,0.032858537
447,0.047572733,-0.064433365,0.007672754,70.42942301,-9.071257067,53.27786397,-0.086562648,0.012282321,-0.019315059
448,-0.041057634,-0.021822467,0.040283158,70.3444519,-9.07130735,53.27783755,-0.042664167,-0.036650216,0.006662021
449,-0.014716136,0.001801739,-0.177338545,70.24853516,-9.07134275,53.27782385,0.060611494,-0.061588382,0.028949366
450,0.087870841,-0.037911755,-0.202495954,70.19441732,-9.071386933,53.27780653,-0.040436084,0.068246595,-0.00419892
451,-0.140570595,0.094322963,-0.004163738,70.0697937,-9.0714327,53.27778145,0.063160137,-0.037548042,0.020792112
452,0.257521544,-0.109717345,-0.068021878,70.21939087,-9.0714772,53.2777615,-0.016791975,0.047473961,-0.003877231
453,-0.011850283,-0.095080047,-0.035209496,70.50643921,-9.07151285,53.27774535,0.012522836,0.029081528,-0.001743538
454,-0.083788463,0.058275874,-0.036369323,71.07602946,-9.071563967,53.27772187,-0.060633897,-0.025910561,-0.00922728
455,-0.206261986,0.047296777,-0.210364666,71.4777832,-9.07160795,53.27770055,0.025239422,-0.015041693,0.026368764
456,0.28500692,-0.049752355,-0.080078931,71.64878337,-9.071648467,53.27768417,-0.015879749,-0.010458389,0.007564201
457,-0.107502282,0.110153661,-0.062029082,71.83632406,-9.071697567,53.27766033,-0.003987718,-0.079648368,0.016921775
458,0.053107376,-0.106620145,-0.163622015,71.96331787,-9.0717458,53.27763615,0.084995377,0.119596969,0.001561442
459,0.037338717,-0.047739808,-0.072217217,71.9597168,-9.071778733,53.2776207,-0.090408539,-0.013725954,-0.023726992
460,-0.045431021,0.01745039,0.060437182,71.94303385,-9.0718249,53.27759907,0.043170469,-0.077492764,0.02128746
461,0.344947141,0.015550528,-0.091501499,71.93289185,-9.07187175,53.2775781,-0.07086992,0.028307128,-0.002809332
462,-0.042063684,-0.114994936,0.036426225,71.76804606,-9.0719177,53.27755473,0.104095553,0.059769105,0.025143711
463,0.083941283,0.004909463,-0.345649486,71.58705648,-9.071966833,53.27753403,-0.009965323,-0.001093086,0.005715417
464,-0.34733882,-0.013284411,-0.20358878,72.02740479,-9.0720068,53.2775142,-0.039589848,-0.011835244,0.006594812
465,0.284891441,-0.068237572,0.380278074,72.47479248,-9.072040733,53.27749273,0.034003869,-0.003757885,0.00688776
466,0.08833942,-0.041288966,-0.437121604,72.98504639,-9.07208975,53.2774621,0.01979877,0.089227545,-0.003697928
467,0.059730729,-0.005074954,0.029324478,73.05401611,-9.072120967,53.2774427,-0.057797871,-0.025923354,-0.013362901
468,-0.027224244,0.055543451,-0.038489789,73.44958496,-9.0721661,53.2774151,-0.002007493,-0.077784154,0.014714784
469,-0.034271719,-0.025400062,-0.097766008,73.58731079,-9.0721964,53.27739705,0.108614929,0.071116827,0.023764198
470,0.178920336,-0.076647334,0.089973132,73.70709229,-9.072232833,53.27737797,-0.108259613,0.003748053,-0.017920777
471,-0.030808189,0.019289546,-0.264216726,73.78462728,-9.072266667,53.27735493,0.062579566,0.023803146,0.020062407
472,0.150914251,-0.117850932,0.0939519,73.8572998,-9.0723002,53.2773349,-0.067534378,0.037414603,-0.004982045
473,-0.147577696,0.216264119,0.100852865,73.83461507,-9.0723263,53.27731807,0.018067532,-0.172069518,0.028216998
474,0.093255156,-0.065945225,-0.245944084,73.49289958,-9.0723654,53.27730043,0.094580087,0.122640959,0.011742697
475,-0.15641205,0.055536591,-0.442528437,73.48006185,-9.072402567,53.27728093,-0.033685893,0.024763281,-0.006859442
476,0.260604845,-0.132506042,0.081826656,73.71118164,-9.0724344,53.2772592,-0.053307786,0.043182951,-0.022225891
477,-0.171145792,0.126460208,0.169200062,73.98905436,-9.0724571,53.2772427,0.013317539,-0.126332747,0.048935055
478,0.102447071,-0.113634219,-0.227221975,74.19573975,-9.07249135,53.27722415,0.025843956,0.137773028,-0.003123052
479,0.166539481,-0.027689599,-0.08859538,74.43375651,-9.072522867,53.2772035,0.037035474,-0.018382525,0.004510404
480,-0.104665674,0.14813386,0.039273187,74.84358724,-9.0725585,53.27717897,-0.071944569,-0.038365631,-0.005378749
481,0.011383699,-0.181241659,-0.298764923,74.90548706,-9.07258785,53.2771545,0.145344292,0.170612093,0.017050979
482,0.054407499,0.113292646,0.157340608,75.26304118,-9.0726243,53.2771292,-0.168625222,-0.144591048,9.38E-04
483,-0.121225834,0.010743175,-0.004315836,75.85540771,-9.0726606,53.2771019,0.028027746,-0.056917198,0.02166563
484,0.193734725,-0.081858677,-0.094266265,75.83657837,-9.07269345,53.27708055,0.051429717,0.033831208,-0.001042675
485,0.08450192,-0.055917273,-0.064772977,75.71722412,-9.0727208,53.2770601,-0.034742906,0.046226943,-0.015789034
486,0.079396524,-0.047897325,-0.305002636,75.81521606,-9.07273835,53.27704725,0.068916911,0.059033652,0.014477476
487,-0.039028529,0.046800361,-0.154432434,76.34454346,-9.07277815,53.2770204,0.015396388,0.046959313,0.004879742
488,0.026839125,-0.041296411,0.378572493,76.86010742,-9.07280825,53.2769892,-0.091713751,-0.019489978,-0.016249048
489,-0.09682381,0.152738175,-0.100980726,76.13793945,-9.07283455,53.27696955,0.079626444,-0.117144536,0.046464965
490,0.033501807,-0.056218119,-0.036590486,76.5526123,-9.07286395,53.27695125,-0.050105191,0.013820599,1.70E-04
491,-0.035515734,-0.042410736,-0.318034206,76.62121582,-9.0728956,53.2769319,0.071330709,0.099362288,0.006634762
492,0.218535693,0.180317492,-0.123550257,76.71090698,-9.0729171,53.27691645,-0.011613374,0.036288032,0.004911699
493,-0.096359703,-0.17116177,0.084911452,75.97192383,-9.07295345,53.27688445,-0.074975403,-0.116020256,0.002981064
494,0.099323496,-0.030863662,-0.225271874,76.16766357,-9.072974,53.2768704,0.060915092,0.024884383,0.020421936
495,0.154502041,-0.06172521,-0.170036256,76.38476563,-9.0730115,53.2768403,-0.036111741,0.103616506,0.008858474
496,-0.140680407,0.157820392,0.118336127,76.47232056,-9.07302925,53.27682335,-0.051062743,-0.174679413,0.013042323
497,-0.111736753,-0.016155054,0.012196204,76.56988525,-9.0730687,53.2767922,0.047461341,0.003900992,0.009406927
498,0.046217244,-0.066185222,-0.165660548,76.50341797,-9.0730991,53.2767716,0.065128213,0.070469679,0.004384394
499,0.124486437,-0.020159736,-0.176467283,76.30834961,-9.0731242,53.2767551,0.005433533,0.066915018,0.009246083
500,0.032674161,-0.037612443,-0.016035452,76.15423584,-9.0731606,53.2767277,-0.029054395,0.011723059,-0.00979959
501,-0.088009043,0.114839077,0.084406562,76.01397705,-9.0731869,53.276703,-0.071670264,-0.161451505,0.003801162
502,0.169677346,-0.138612209,-0.070387918,75.68707275,-9.0732203,53.27667835,0.007353117,0.049881352,-0.005852184
503,-0.0925454,0.105324016,-0.258185076,75.79876709,-9.0732565,53.2766566,0.037577836,-0.043201926,0.019441893
504,-0.016277967,-0.052103269,0.068376196,76.0357666,-9.0732856,53.2766336,-0.027510533,0.045686217,-0.003647825
505,0.090025395,0.032525415,-0.315955518,75.9838562,-9.07331035,53.2766149,0.116798816,0.01379766,0.033894857
506,0.185261516,-0.00584541,-0.728243128,76.59039307,-9.0733471,53.27658135,0.109199167,0.25594919,0.021285669
507,0.419229071,-0.130559435,-0.074800758,76.00183105,-9.0733666,53.27655315,-0.102917105,0.117692811,0.0086055
508,-0.103571511,0.120004885,0.549546676,76.15591431,-9.07337685,53.27652955,-0.105261582,-0.151964988,0.002532812
509,-0.042759377,0.184677615,0.674828866,75.38699341,-9.07339765,53.27649655,-0.134829741,-0.258510328,0.028784254
510,0.025139048,-0.179016633,-0.018211614,74.35168457,-9.0734271,53.2764712,0.105650835,0.030668769,0.017223484
511,-0.160689742,0.04495887,-0.009150147,73.86230469,-9.073456333,53.27645553,-0.073533079,-0.139719732,-7.42E-04
512,0.110882607,0.081206989,0.211669162,73.7286377,-9.07350035,53.2764345,-0.104890506,-0.229231561,0.013726755
513,-0.067259384,0.072748713,-0.503816343,73.83682251,-9.0735409,53.2764221,0.161375981,0.002537771,0.033451822
514,0.175137459,-0.145438747,-0.699798957,73.93829346,-9.073592733,53.27641,0.085796988,0.18027704,0.017202176
515,0.173695061,-0.072637511,-0.512206024,74.13946533,-9.0736362,53.27639095,0.001030097,0.161842127,0.008365394
516,0.042963934,-0.023223338,0.023374603,74.20376587,-9.0736706,53.2763679,-0.072125664,-0.106233567,-0.014566645
517,0.014065668,0.037616904,-0.006379753,74.12257894,-9.0737099,53.27634153,0.012608239,0.0795347,0.008114899
518,-0.042151051,-0.053095803,-0.077509285,74.14352417,-9.07375555,53.2763114,0.025569654,0.00356314,9.49E-04
519,-0.095275959,0.062424231,-0.029752711,74.30438232,-9.07380005,53.27628345,-0.058524912,-0.064581764,5.55E-04
520,-0.289732735,0.08814425,0.160783241,74.29302979,-9.07383775,53.2762603,0.007487595,-0.09748889,0.012333761
521,0.210489867,-0.007092605,-0.338871574,74.16534424,-9.0738788,53.276238,0.023180797,0.127615737,0.011311264
522,-0.099940082,-0.045318981,-0.063269411,74.03189087,-9.07392585,53.27621035,0.005027469,-0.047751104,-0.010247717
523,0.104511825,-0.037966847,-0.222560822,73.7414856,-9.07396605,53.2761807,0.005311005,0.047683692,0.005665368
524,0.051131093,-0.002896951,0.196120133,73.23946126,-9.074019267,53.2761468,-0.028581067,-0.061051077,-0.002527193
525,0.077716632,-0.08897893,-0.080410285,72.70239258,-9.0740784,53.27611023,-0.006966158,0.018407586,-0.010254995
526,0.016006995,0.109575753,0.108504364,72.59664917,-9.07414025,53.27607725,0.001349147,-0.068054392,0.017135361
527,0.14189667,-0.019870596,-0.186686969,72.61325073,-9.0741741,53.27605365,-0.011413633,0.04221623,-0.001618369
528,-0.008608091,-0.036387305,-0.014307234,72.20501709,-9.0742544,53.2760078,0.016280554,-0.039811728,0.002948946
529,0.058313289,-0.076858294,-0.117808564,72.03271484,-9.0743068,53.2759757,0.001641831,0.035977554,0.006366701
530,4.16E-04,0.11728303,-0.028380066,72.32751465,-9.0743638,53.2759467,-0.045020034,-0.112846193,0.002520179
531,-0.001620479,-0.117221931,-0.045790788,72.79486084,-9.0744162,53.275915,0.063962378,0.044520757,0.006074019
532,-0.163071582,-0.044407983,-0.197596985,72.71203613,-9.0744751,53.2758834,-0.034657683,0.02449557,-0.004254897
533,-0.072161856,0.124486527,0.051654479,72.87329102,-9.0745441,53.2758493,-0.019908662,-0.014400972,0.009451748
534,0.138515197,-0.040805764,-0.070285423,72.88098145,-9.0746133,53.275815,-0.010279128,-0.045116739,-0.008931402
535,-0.01396654,0.160232341,-0.232044051,72.77630615,-9.0746832,53.2757823,0.011814568,-0.071023424,0.040122898
536,0.249168549,-0.166529107,-0.121225311,72.90881348,-9.0747565,53.2757459,0.030467194,0.072056917,0.005476288
537,0.23069385,-0.103274119,0.025321578,72.96685791,-9.0748236,53.2757114,0.004708416,0.026674954,-0.001351184
538,-0.002487262,-0.087859111,0.069647698,73.74163818,-9.0748889,53.2756813,-0.042695096,-0.030802259,-0.011176443
539,-0.046116378,-0.012143483,-0.032961871,73.92999268,-9.0749577,53.2756512,0.012168637,-0.016415877,0.00998768
540,0.065675121,0.048356524,-0.018174859,73.34692383,-9.0750296,53.2756232,-0.030033938,-0.060932419,0.011983072
541,0.001114898,-0.017220635,-0.219274627,73.47387695,-9.075101,53.2755972,-0.009123317,-0.049894443,0.003337773
542,0.171193324,-0.053959771,-0.175364117,73.39990234,-9.0751717,53.2755707,0.025876575,0.031705954,0.009815628
543,0.057514669,0.026192274,-0.044800798,73.36242676,-9.0752344,53.2755454,-0.032764179,-0.026677027,-2.10E-04
544,0.002496612,-0.016465381,0.034068323,73.36920166,-9.075295,53.2755168,-0.016451831,-0.00934361,0.002799129
545,-0.069208692,-0.014175239,0.020601259,73.83392334,-9.075363,53.2754929,-0.009293761,-0.054941136,0.001098054
546,-0.008360441,0.008585411,-0.237449871,74.05651855,-9.0754341,53.2754721,0.077549761,0.044433741,0.018530223
547,-0.076287975,-0.023595061,-0.161832519,73.88702393,-9.0754998,53.2754527,0.012570772,0.026117429,0.008381795
548,0.111737247,-0.032908573,-0.20003738,74.29852295,-9.0755624,53.2754331,0.035537854,0.012031985,0.013777354
549,0.149223685,0.018929883,-0.048817725,74.30834961,-9.0756266,53.27540985,-0.031009552,0.007189071,0.002464256
550,0.113109453,-0.144170299,0.042801925,74.36425781,-9.0756878,53.2753879,-0.060908438,0.036072322,-0.016486782
551,-0.144343891,0.084634299,-0.01358542,74.49078369,-9.0757487,53.2753671,0.00549154,-0.072721521,0.01083343
552,-0.114868844,-0.011924715,-0.135826069,74.61853027,-9.0758118,53.2753486,0.006932867,-0.02774229,0.00908487
553,0.173666039,0.058891712,-0.069629761,74.46807861,-9.0758758,53.2753318,-0.058767051,-0.039334466,0.003168279
554,0.054547112,-0.062652841,-0.13996798,74.63977051,-9.0759382,53.2753141,-0.015570831,0.016681855,0.010091543
555,-0.083190805,-0.003144293,-0.154833396,75.05822754,-9.0759997,53.275297,0.04080081,-0.112072982,0.014358819
556,0.130169328,-0.082477708,-0.11578868,75.10980225,-9.0760611,53.2752809,-0.019573555,0.069676054,-0.007349484
557,-0.100954356,0.07328454,-0.067082862,75.00002035,-9.0760939,53.27527,-0.008076696,-0.02792605,0.001838413
558,-0.22719757,-0.096856042,-0.203368491,75.06536865,-9.076167533,53.27524883,0.043163376,0.014453429,0.032813716
559,0.290908397,0.058280602,-0.011205077,74.70526123,-9.0762432,53.2752274,-9.10E-04,-0.005251914,-0.00622031
560,-0.286976603,-0.013009912,-0.214574298,74.58303833,-9.07628905,53.27521475,0.02683109,-0.003181429,0.007948773
561,0.124007916,0.017571692,-0.149123016,74.42816162,-9.076348,53.27519637,-0.00397277,0.010671112,0.009534938
562,0.136261534,-0.007671743,0.022119478,74.24802653,-9.076413133,53.2751777,-0.027681926,-0.0105038,2.47E-04
563,-0.045025686,0.006186223,-0.07126962,73.53460693,-9.076466767,53.27516173,-0.002766362,-0.046240595,0.014192802
564,-0.071225675,0.016606897,-0.14480075,72.7617391,-9.076530567,53.27514697,0.027461286,0.016409925,0.03901281
